Traffic Load,Gamma,Avg Delay (ms),Avg Bottleneck Util,Success Rate (%)
300,11.0,66.80292451518741,0.0,100.0
300,12.0,65.80738235218043,0.0,100.0
300,13.0,66.4342972164263,0.0,100.0
300,14.0,65.56973767966886,0.0,100.0
300,15.0,67.43197446434982,0.0,100.0
400,1.0,78.05197014003593,0.0,100.0
400,2.0,76.95387729289143,0.0,100.0
400,3.0,76.58419902682085,0.0,100.0
400,4.0,74.79725653350673,0.0,100.0
400,5.0,76.50781926105785,0.0,100.0
400,6.0,76.21271325595136,0.0,100.0
400,7.0,75.20194984571013,0.0,100.0
400,8.0,76.33344728114548,0.0,100.0
400,9.0,75.66517771373809,0.0,100.0
400,10.0,78.8591307410758,0.0,100.0
400,11.0,77.38828437441282,0.0,100.0
400,12.0,77.60866374246976,0.0,100.0
400,13.0,78.13123847518125,0.0,100.0
400,14.0,76.26822182016979,0.0,100.0
400,15.0,77.52925207369233,0.0,100.0
500,1.0,71.6774985776579,0.0,100.0
500,2.0,71.3917315528777,0.0,100.0
500,3.0,73.19907300736,0.0,100.0
500,4.0,72.17054346120854,0.0,100.0
500,5.0,72.00615621415598,0.0,100.0
500,6.0,71.93333281957219,0.0,100.0
500,7.0,72.91544582571227,0.0,100.0
500,8.0,71.106535067659,0.0,100.0
500,9.0,71.38516595526754,0.0,100.0
500,10.0,71.39261169378992,0.0,100.0
500,11.0,72.42411154363828,0.0,100.0
500,12.0,71.84971253518107,0.0,100.0
500,13.0,70.83062793498445,0.0,100.0
500,14.0,71.2778532775783,0.0,100.0
500,15.0,71.20370791087207,0.0,100.0
600,1.0,71.12754155929193,0.0,100.0
600,2.0,71.68899870487178,0.0,100.0
600,3.0,72.65829842856425,0.0,100.0
600,4.0,72.61816352301828,0.0,100.0
600,5.0,72.9360763716291,0.0,100.0
600,6.0,74.33662186941211,0.0,100.0
600,7.0,73.14145709283278,0.0,100.0
600,8.0,72.53963686895155,0.0,100.0
600,9.0,71.6274242223457,0.0,100.0
600,10.0,71.55866574217073,0.0,100.0
600,11.0,72.44127649006994,0.0,100.0
600,12.0,73.23650049196681,0.0,100.0
600,13.0,71.68168728204908,0.0,100.0
600,14.0,72.51794113284222,0.0,100.0
600,15.0,71.85948103431838,0.0,100.0
